ID,Type,Color,Image_Path,Caption
1,Armchairs 16239,N/A,armchairs_16239_image_1.jpg,"The image shows a teal armchair with a wooden frame and a green upholstered seat."
2,Armchairs 16239,N/A,armchairs_16239_image_2.jpg,"The image shows a dark grey armchair with wooden legs and a black upholstered seat."
3,Armchairs 16239,N/A,armchairs_16239_image_3.jpg,"The image shows a black recliner chair. The chair has a sleek and modern design, with a comfortable cushion and armrests. It is upholstered in a soft black fabric, giving it a luxurious look"
4,Armchairs 16239,N/A,armchairs_16239_image_4.jpg,"The image shows a grey wing chair with black legs. The chair has a classic design with a high back and armrests, and is upholstered in a light grey fabric."
5,Armchairs 16239,N/A,armchairs_16239_image_5.jpg,"The image shows a grey armchair with a wooden frame and a grey upholstered seat."
6,Armchairs 16239,N/A,armchairs_16239_image_6.jpg,"The image shows a black leather armchair with a wooden frame. The armchair has a sleek and modern design, with a comfortable cushion and armrests."
7,Armchairs 16239,N/A,armchairs_16239_image_7.jpg,"The image shows a wooden armchair with a beige upholstered seat and backrest. The armchair has a curved backrest and armrests, and the seat is cushioned for comfort."
8,Armchairs 16239,N/A,armchairs_16239_image_8.jpg,"The image shows a white loveseat with two white pillows on top of it."
9,Armchairs 16239,N/A,armchairs_16239_image_9.jpg,"The image shows a light grey swivel chair with a slipcover. The chair has a curved back and armrests, and the slipcover is made of a soft, comfortable material."
10,Armchairs 16239,N/A,armchairs_16239_image_10.jpg,"The image shows a white armchair with wooden legs. The armchair has a classic design with a curved back and armrests, and is upholstered in a soft white fabric."
