ID,Type,Image_Path,Caption,Price
1,Upholstered Chairs 25221,upholstered_chairs_25221_image_1.jpg,"The image shows a grey chair with wooden legs and a grey upholstered seat. The chair has a classic design with a curved backrest and armrests, and four tapered legs.",6395
2,Upholstered Chairs 25221,upholstered_chairs_25221_image_2.jpg,The image shows a red armchair with black legs and a red upholstered seat.,7195
3,Upholstered Chairs 25221,upholstered_chairs_25221_image_3.jpg,The image shows a black and white chair with black legs and a clear plastic seat.,8995
4,Upholstered Chairs 25221,upholstered_chairs_25221_image_4.jpg,The image shows a white wooden chair with a grey cushion.,4845
5,Upholstered Chairs 25221,upholstered_chairs_25221_image_5.jpg,"The image shows a white office chair with a black frame and a white seat. The chair has a sleek and modern design, with a curved backrest and armrests for comfort. The seat is upholstery.",3295
6,Upholstered Chairs 25221,upholstered_chairs_25221_image_6.jpg,The image shows a green chair with a metal frame and a green seat.,1495
7,Upholstered Chairs 25221,upholstered_chairs_25221_image_7.jpg,The image shows a grey chair with white legs and a grey upholstered seat.,4195
8,Upholstered Chairs 25221,upholstered_chairs_25221_image_8.jpg,"The image shows a wooden chair with a beige upholstered seat. The chair has a classic design with a curved backrest and armrests, and four tapered legs.",5695
9,Upholstered Chairs 25221,upholstered_chairs_25221_image_9.jpg,"The image shows a blue and white floral patterned chair with black legs, perfect for adding a touch of elegance to any room.",7995
10,Upholstered Chairs 25221,upholstered_chairs_25221_image_10.jpg,"The image shows a beige upholstered dining chair with a chrome frame. The chair has a modern design with a curved backrest and armrests, and four tapered legs.",6495
