ID,Type,Image_Path,Caption,Price
1,Tv Media Furniture 10475,tv_media_furniture_10475_image_1.jpg,"The image shows a black wall-mounted cabinet with two doors and two drawers, providing ample storage space for items such as books, magazines, and other items. The cabinet is made of a sturdy material and has a sleek, modern design.",18345
2,Tv Media Furniture 10475,tv_media_furniture_10475_image_2.jpg,"The image shows a white tv stand with two doors and a shelf. The tv stand is made of a sturdy material and has a sleek, modern design.",10995
3,Tv Media Furniture 10475,tv_media_furniture_10475_image_3.jpg,"The image shows a grey Ikea TV stand with two doors and two drawers, providing ample storage space for media and other items.",8495
4,Tv Media Furniture 10475,tv_media_furniture_10475_image_4.jpg,The image shows a wooden tv stand with two baskets on top of it. The tv stand is made of a light-colored wood and has two shelves.,22995
5,Tv Media Furniture 10475,tv_media_furniture_10475_image_5.jpg,"The image shows a black wooden bench with a shelf on top of it. The bench has a sleek, modern design with a glossy black finish, and the shelf provides additional storage space.",1195
6,Tv Media Furniture 10475,tv_media_furniture_10475_image_6.jpg,"The image shows a black Ikea TV wall unit with two doors and two drawers. The unit is made of a sturdy material and has a sleek, modern design.",44085
7,Tv Media Furniture 10475,tv_media_furniture_10475_image_7.jpg,"The image shows a white Ikea Kallax TV stand with a shelf on top of it, perfect for storing and displaying flat-screen TVs.",3995
8,Tv Media Furniture 10475,tv_media_furniture_10475_image_8.jpg,"The image shows a black metal tv stand with two shelves and a shelf on top of it. The stand is made of a sturdy metal frame and has a sleek, modern design.",6795
9,Tv Media Furniture 10475,tv_media_furniture_10475_image_9.jpg,"The image shows a black and oak sideboard with two doors and two drawers, providing ample storage space for items such as books, magazines, and other items. The sideboard has a sleek, modern design with a glossy black finish.",22995
10,Tv Media Furniture 10475,tv_media_furniture_10475_image_10.jpg,"The image shows a white coffee table with a shelf on top of it. The table has a sleek, modern design with a smooth, glossy finish, and the shelf provides ample storage space for books.",2995
