ID,Type,Color,Image_Path,Caption
1,Sofas Armchairs Fu003,N/A,sofas_armchairs_fu003_image_1.jpg,"The image shows a red sofa bed with two pillows on top of it, creating a cozy and inviting atmosphere."
2,Sofas Armchairs Fu003,N/A,sofas_armchairs_fu003_image_2.jpg,"The image shows a yellow two-seater sofa bed with two pillows on top of it."
3,Sofas Armchairs Fu003,N/A,sofas_armchairs_fu003_image_3.jpg,"The image shows a brown sectional sofa with a chaise lounger and a pull out bed, upholstered in a rich brown fabric. The sofa has several pillows on it, providing a comfortable and inviting seating option."
4,Sofas Armchairs Fu003,N/A,sofas_armchairs_fu003_image_4.jpg,"The image shows a grey day bed with two drawers underneath it, providing ample storage space for items such as books, toys, and other items. The day bed is made of a sturdy material and has a comfortable cushion for added comfort."
5,Sofas Armchairs Fu003,N/A,sofas_armchairs_fu003_image_5.jpg,"The image shows a three-seat sofa with a gray slipcover. The slipcover is made of a soft, comfortable material and is designed to fit snugly over the three-seater sofa."
6,Sofas Armchairs Fu003,N/A,sofas_armchairs_fu003_image_6.jpg,"The image shows a blue leather sofa. The sofa has a classic design with a tufted back and armrests, and is upholstered in a luxurious blue leather material."
7,Sofas Armchairs Fu003,N/A,sofas_armchairs_fu003_image_7.jpg,"The image shows a grey sectional sofa with a chaise lounger and several pillows on it, creating a cozy and inviting atmosphere."
8,Sofas Armchairs Fu003,N/A,sofas_armchairs_fu003_image_8.jpg,"The image shows a close up shot of a beige linen fabric, with its soft texture and subtle sheen."
9,Sofas Armchairs Fu003,N/A,sofas_armchairs_fu003_image_9.jpg,"The image shows a blue velvet sectional sofa with a chaise lounger and ottoman, perfect for adding a touch of elegance to any living space. The sofa is upholstered in a luxurious blue velvet fabric."
10,Sofas Armchairs Fu003,N/A,sofas_armchairs_fu003_image_10.jpg,"The image shows a grey sectional sofa with a chaise lounger and ottoman, featuring a tufted back and wooden legs. The sofa is upholstered in a light grey fabric."
