ID,Type,Color,Image_Path,Caption
1,Upholstered Beds 49096,N/A,upholstered_beds_49096_image_1.jpg,"The image shows a black bed frame with a white mattress on top of it."
2,Upholstered Beds 49096,N/A,upholstered_beds_49096_image_2.jpg,"The image shows a bed with a metal frame and a green headboard, topped with a white mattress."
3,Upholstered Beds 49096,N/A,upholstered_beds_49096_image_3.jpg,"The image shows a bed with a beige headboard and a white mattress, creating a cozy and inviting atmosphere. The bed frame is made of a sturdy material, giving it a classic and timeless look."
4,Upholstered Beds 49096,N/A,upholstered_beds_49096_image_4.jpg,"The image shows a bed with a blue velvet headboard and metal legs, and a white bed sheet on top. The bed is part of the Modway Furniture Collection, featuring a modern and stylish design."
5,Upholstered Beds 49096,N/A,upholstered_beds_49096_image_5.jpg,"The image shows a bed with a grey headboard and two drawers underneath it. The bed is covered with a white bed sheet, giving it a modern and stylish look."
6,Upholstered Beds 49096,N/A,upholstered_beds_49096_image_6.jpg,"The image shows a bed with a grey headboard and wooden legs, and a white bed sheet on top. The bed frame is made of a sturdy material, and the headboard is upholstered in a neutral grey fabric."
7,Upholstered Beds 49096,N/A,upholstered_beds_49096_image_7.jpg,"The image shows a queen-sized bed with a grey upholstered headboard and wooden legs, and a white mattress."
8,Upholstered Beds 49096,N/A,upholstered_beds_49096_image_8.jpg,"The image shows a bed with a grey upholstered headboard and metal legs, and a white mattress on top of it. The bed frame is made of a sturdy metal frame, and the headboard is upholstery"
9,Upholstered Beds 49096,N/A,upholstered_beds_49096_image_9.jpg,"The image shows a bed with a grey headboard and wooden legs, and a white bed sheet on top. The bed frame is made of a sturdy material, and the headboard is upholstered in a neutral grey fabric."
10,Upholstered Beds 49096,N/A,upholstered_beds_49096_image_10.jpg,"The image shows a white bed with a beige headboard and a white mattress."
